title,judge,makes,difficulty,hands_on_time,baking_time,ingredients,recipe_image,judge_image
Steven’s Telephone Cake,Steven,16,Needs skill,2 hrs 30 mins,40 mins,"[<h5>For the sponge:</h5>, <p>100g cocoa powder</p>, <p>2 tsp instant espresso powder</p>, <p>125ml boiling water</p>, <p>3 tbsp hazelnut liqueur</p>, <p>600g caster sugar</p>, <p>200g salted butter, softened</p>, <p>1 tsp vanilla</p>, <p>6 eggs</p>, <p>400g self-raising flour</p>, <p>1 rounded tsp baking powder</p>, <p>a pinch of salt</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/Telephone_Cake_1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Steven-987_l-100x100.jpg
Kate’s 3D Cake House,Kate,20,Needs skill,2 hrs 30 mins,1 hr 15 mins,"[<h5>For the sponge:</h5>, <p>500g unsalted butter, softened</p>, <p>500g caster sugar</p>, <p>8 eggs, beaten</p>, <p>325g self-raising flour</p>, <p>½ tsp baking powder</p>, <p>50g ground almonds</p>, <p>125g Iranian green pistachios, finely ground</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/3D_House_Cake_1024x450_2-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/KATE-320-100x100.jpg
Liam’s 2 in 1: It’s Gotta Be Fun,Liam,8–10,Needs skill,2 hrs,1 hr,"[<h5>For the chocolate sponge:</h5>, <p>135g caster sugar</p>, <p>130g plain flour</p>, <p>25g cocoa powder</p>, <p>pinch of salt</p>, <p>½ tsp bicarbonate of soda</p>, <p>90ml strong coffee, cooled</p>, <p>45ml buttermilk</p>, <p>45ml soured cream</p>, <p>75ml vegetable oil</p>, <p>1 large egg</p>, <p>½ tsp vanilla extract</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/Xmas_2in1_Cake_1024x450_2-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Liam-959_l-100x100.jpg
Andrew’s Boozy Bauble Cake,Andrew,30,Needs skill,2 hrs,1 hr 30 mins,"[<h5>For the coloured bauble sponge:</h5>, <p>175g unsalted butter</p>, <p>175g caster sugar</p>, <p>3 eggs</p>, <p>175g self-raising flour</p>, <p>25g plain flour</p>, <p>finely grated zest of 1 unwaxed orange</p>, <p>3 tbsp freshly squeezed orange juice</p>, <p>red, green and purple food-colouring gels</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/Xmas_Boozy_Bauble_Cake_1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/andrew-100x100.jpg
Rahul’s Edible Rock Garden Chocolate Cake,Rahul,20,Needs skill,1 hr 20 mins,30 mins,"[<h5>For the chocolate sponge: </h5>, <p>100g cocoa powder  </p>, <p>120ml boiling water  </p>, <p>600g dark brown soft sugar  </p>, <p>200g baking margarine or softened salted butter </p>, <p>6 eggs  </p>, <p>350g self-raising flour  </p>, <p>2 tsp baking powder   </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/GBBO9_Rock_Cake_1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-100x100.jpg
Ruby’s Magical Landscape Passionfruit Cake ,Ruby,10–12,Easy,1 hr ,25 mins ,"[<h5>For the sponges: </h5>, <p>8 passionfruits </p>, <p>4 eggs (about 200g)   </p>, <p>200g baking margarine, or same weight as the 4 eggs  </p>, <p>200g golden caster sugar, or same weight as the 4 eggs </p>, <p>1 tsp vanilla bean paste  </p>, <p>200g self-raising flour</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/GBBO9_Passionfruit_Cake_1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-100x100.jpg
Ruby’s Summer Millefeuille,Ruby,12,Needs skill,1 hr 15 mins,50 mins,"[<h5>For the rough puff: </h5>, <p>250g type ‘00’ plain flour </p>, <p>250g unsalted butter, frozen </p>, <p>½ tsp salt </p>, <p>125ml ice-cold water  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/Millefeuille_1024x450_2-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-100x100.jpg
Kim-Joy’s Choux au Craquelin Religieuse with Orange Crème Diplomat,Kim-Joy,12,Needs skill,"1 hr, plus drying",25 mins,"[<h5>For the crystallised flowers:</h5>, <p>1 tbsp liquid pasteurised egg white  </p>, <p>12 small edible flowers  </p>, <p>50g caster sugar  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Orange_Religieuse_1024x450_1-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-6-100x100.jpg
Manon’s Rose Marshmallow Strings,Manon,about 40 pieces ,Challenging,45 mins,25 mins,"[<p>50g icing sugar, for dusting </p>, <p>50g cornflour, for dusting </p>, <p>12 leaves of gelatine </p>, <p>1 tbsp liquid glucose </p>, <p>250g caster sugar </p>, <p>75g pasteurised egg white </p>, <p>½ tsp salt </p>, <p>1 tsp rose extract, or to taste  </p>, <p>pink and green food-colouring gels </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Rose_Marshmallow_Strings_1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-3-100x100.jpg
Ruby’s Apricot & Frangipane Kagekone,Ruby,18,Needs skill,"1 hr, plus proving",20 mins,"[<h5>For the dough:</h5>, <p>550g strong white bread flour  </p>, <p>12g salt  </p>, <p>80g caster sugar  </p>, <p>12g fast-action dried yeast </p>, <p>175ml whole milk </p>, <p>2 tsp vanilla bean paste  </p>, <p>2 eggs </p>, <p>100ml cool water </p>, <p>250g unsalted butter, sliced and chilled   </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Apricot_Frangipane_Kagekone_1024x450_1.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-100x100.jpg
Briony’s Nana Pat Kagekone,Briony,12,Challenging,"50 mins, plus rising",20 mins,"[<h5>For the dough:</h5>, <p>345g strong white bread flour </p>, <p>35g golden caster sugar </p>, <p>2 tsp fast-action dried yeast  </p>, <p>1 tsp salt </p>, <p>240g unsalted butter, chilled </p>, <p>125ml whole milk </p>, <p>50ml warm water </p>, <p>1 large egg </p>, <p>½ tsp vanilla extract </p>, <p>3 tbsp syrup from a jar of stem ginger </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Nana_Pat_Kagekone_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-5-100x100.jpg
Kim-Joy’s Two-tier Lavender & Lemon Curd Fox Cake,Kim-Joy,30,Challenging,4 hrs,40 mins,"[<h5>For the 23cm base tier:</h5>, <p>675g extra-fine self-raising sponge flour </p>, <p>410g caster sugar  </p>, <p>5 tsp edible lavender </p>, <p>2¼ tsp baking powder</p>, <p>1 tsp salt</p>, <p>635g soy milk </p>, <p>230g sunflower oil</p>, <p>5 tsp aquafaba </p>, <p>2 ½ tsp white wine vinegar</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Fox_Cake_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-6-100x100.jpg
Briony’s Hazelnut Mocha Cake,Briony,16–20,Needs skill,2 hrs,2 hrs,"[<h5>For the sponge:</h5>, <p>565g self-raising flour </p>, <p>600g golden caster sugar </p>, <p>125g cacao powder </p>, <p>1½ tsp baking powder  </p>, <p>1½ tsp salt </p>, <p>200g chopped roasted hazelnuts  </p>, <p>200ml dairy-free spread, melted </p>, <p>400ml soy coffee &amp; hazelnut milk </p>, <p>250ml walnut oil </p>, <p>1 tsp xanthan gum </p>, <p>3½ tbsp espresso-strength instant coffee </p>, <p>50ml boiling water </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Hazelnut_Mocha_Cake_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-5-100x100.jpg
Ruby’s ‘Fit for a Queen’ Pie,Ruby,6,Needs skill,1 hr 45 mins,1 hr 30 mins ,"[<h5>For the chicken curry filling:</h5>, <p>225g baby or new potatoes, peeled and quartered </p>, <p>6 green cardamom pods, husks removed  </p>, <p>2cm cinnamon stick  </p>, <p>1 tsp black peppercorns </p>, <p>1 star anise  </p>, <p>2½ tsp cumin seeds </p>, <p>4 cloves </p>, <p>4 tbsp vegetable oil </p>, <p>2 bay leaves </p>, <p>350g onions, thinly sliced </p>, <p>1 heaped tsp ginger &amp; garlic paste </p>, <p>1 heaped tsp hot chilli powder </p>, <p>1 heaped tsp ground coriander </p>, <p>1 heaped tsp ground turmeric </p>, <p>1½ tsp garam masala  </p>, <p>250g tomatoes, chopped </p>, <p>2 tbsp tomato purée  </p>, <p>2 tsp salt, plus extra to taste </p>, <p>900g chicken breast, cut into 3cm chunks </p>, <p>1 bunch of coriander, chopped </p>, <p>1½ tbsp chopped root ginger </p>, <p>50g spinach leaves </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Queen_Pie_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-100x100.jpg
Kim-Joy’s Christmas Spiced Biscuits,Kim-Joy,24,Easy,1 hr 30 mins,10 mins,"[<h5>For the biscuits:  </h5>, <p>180g unsalted butter  </p>, <p>150g dark muscovado sugar </p>, <p>pinch of salt </p>, <p>75g golden syrup </p>, <p>450g plain flour </p>, <p>1 tsp bicarbonate of soda </p>, <p>4 tsp green cardamom pods, husks removed and seeds ground; or 2 tsp ground cardamom   </p>, <p>2 tsp ground cinnamon </p>, <p>½ tsp ground nutmeg </p>, <p>¼ tsp ground cloves </p>, <p>1 egg yolk </p>, <p>1 tbsp whole milk </p>, <p>150g ready-tempered pearl and silver nibs, or clear hard-boiled mints </p>, <p>silver edible dust   </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Christmas_Biscuits_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-6-100x100.jpg
Karen’s Chateau du Chambord Framboise,Karen,4,Challenging,40 mins,30 mins,"[<h5>For the brownies:</h5>, <p>190g caster sugar  </p>, <p>140g unsalted butter, softened  </p>, <p>2 eggs, beaten </p>, <p>40g cocoa powder </p>, <p>50g self-raising flour </p>, <p>50g dark chocolate chips  </p>, <p>2 tbsp Chambord liqueur  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Chateau_Du_Chambord_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-9-100x100.jpg
"Kim-Joy’s Orange, Cinnamon & Cranberry ‘KITovai’",Kim-Joy,12,Easy,"25 mins, plus rising ",35 mins,"[<h5>For the tangzhong:</h5>, <p>33g strong white bread flour  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Orange_Kitovai_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-6-100x100.jpg
Rahul’s Garden Wedding Korovai,Rahul,20,Needs skill,"30 mins, plus rising",40 mins,"[<h5>For the starter:</h5>, <p>265ml whole milk   </p>, <p>15g fast-action dried yeast   </p>, <p>1½ tbsp caster sugar  </p>, <p>350g strong white bread flour  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Garden_Wedding_1024x450_2.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-100x100.jpg
Briony’s Rapunzel ‘Happily Ever After’ Korovai,Briony,16,Needs skill,"45 mins, plus rising",50 mins,"[<h5>For the starter: </h5>, <p>250ml whole milk </p>, <p>250g strong white bread flour  </p>, <p>10g fast-action dried yeast   </p>, <p>1 tbsp caster sugar</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Rapunzel_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-5-100x100.jpg
Karen’s Strawberry Fair Chocolate Cake ,Karen,16–20,Needs skill,1 hr 45 mins  ,40 mins,"[<h5>For the sponges:</h5>, <p>450g cake margarine </p>, <p>450g caster sugar </p>, <p>8 eggs, beaten </p>, <p>100g cocoa powder   </p>, <p>350g self-raising flour </p>, <p>200ml buttermilk </p>, <p>1 tbsp instant coffee granules dissolved in 1 tbsp boiling water </p>, <p>250g large strawberries, unhulled, to decorate</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Strawberry_Fair_Cake_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-9-100x100.jpg
Ruby’s Chocolate Orange ‘Jackson Pollock’ Collar Cake,Ruby,12,Needs skill,1 hr 30 mins,25 mins,"[<h5>For the sponges:</h5>, <p>300g cake margarine, at room temperature  </p>, <p>300g golden caster sugar  </p>, <p>6 eggs, beaten   </p>, <p>2½ tsp vanilla bean paste  </p>, <p>3 tsp Valencian orange extract </p>, <p>finely grated zest of 2 large unwaxed oranges </p>, <p>3 tbsp Cointreau </p>, <p>315g self-raising flour, sifted </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Jackson_Pollock_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-100x100.jpg
Rav’s ‘Frozen’ Fantasy Cake,Rav,12-16,Easy,2 hrs,25 mins,"[<h5>For the sponge:</h5>, <p>250g self-raising flour</p>, <p>1½ tsp baking powder</p>, <p>90g ground almonds</p>, <p>340g caster sugar</p>, <p>340g unsalted butter, softened and diced</p>, <p>6 medium eggs, at room temperature, beaten</p>, <p>¾ tsp almond extract</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/frozen-fantasy-cake-1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/rav-100x100.jpg
Benjamina’s Winter Wonderland Cake,Benjamina,12-16,Needs skill,1 hr 45 mins,25 mins,"[<h5>For the sponges:</h5>, <p>120g unsalted butter</p>, <p>400g plain flour</p>, <p>90g cocoa powder</p>, <p>2 tsp baking powder</p>, <p>2 tsp bicarbonate of soda</p>, <p>¼ tsp salt</p>, <p>460g caster sugar</p>, <p>3 medium eggs, at room temperature</p>, <p>300ml full-fat milk</p>, <p>225ml strong hot coffee (or 1 tablespoon instant coffee dissolved in 225ml hot water)</p>, <p>3 tbsp coffee liqueur e.g. Kahlua (optional)</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/winter-wonderland-1024x450-2.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/benjamina-100x100.jpg
Sandy’s After-Dinner Mint Surprise Alaska Tartlets,Sandy,6 tartlets,Needs skill,1 hr 30 mins,45 mins,"[<h5>For the mint choc-chip ice cream:</h5>, <p>300ml double cream, well chilled</p>, <p>150ml condensed milk (from a 376g can)</p>, <p>Peppermint extract, to taste</p>, <p>Edible green food colouring gel</p>, <p>75g dark chocolate (about 75% cocoa solids), broken up</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/after-dinner-alaska-tart-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_5_450-100x100.jpg
Paul’s Christmas Entremet,Paul,12,Challenging,3 hrs,15 mins,"[<h5>For the decorative paste:</h5>, <p>50g unsalted butter, very soft</p>, <p>50g icing sugar, sifted</p>, <p>55g plain flour, sifted</p>, <p>50g lightly beaten egg whites (from about 1½ medium eggs)</p>, <p>edible green food colouring gel/paste</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/christmas-entremet-1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_6_450-100x100.jpg
Sophie’s Ode to the Honey Bee Entremet,Sophie,12,Challenging,2 hrs,25 mins,"[<h5>For the sponge:</h5>, <p>80g unsalted butter, diced </p>, <p>115g caster sugar </p>, <p>75g ground almonds </p>, <p>35g plain flour </p>, <p>4 egg whites </p>, <p>good pinch of salt </p>, <p>finely grated zest of 1 unwaxed lemon </p>, <p>finely grated zest of 1 unwaxed orange </p>, <p>½ tsp orange blossom water </p>, <p>¼ tsp vanilla bean paste </p>, <p>blackberries, to decorate </p>, <p>icing sugar, for dusting </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/honey-entremet-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Sophie-1162_l-100x100.jpg
Steven’s Swedish Sky at Night Entremet,Steven,12-16,Challenging,2 hrs 15 mins,18 mins,"[<h5>For the genoise sponge:</h5>, <p>150g plain flour</p>, <p>good pinch salt</p>, <p>60g unsalted butter</p>, <p>3 medium eggs, at room temperature</p>, <p>150g caster sugar</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/171020_070B_SkyNightEntrement_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Steven-987_l-100x100.jpg
Kate’s White Chocolate & Yuzu Entremet,Kate,12,Challenging,"1 hr 30 mins, plus chilling",25 mins,"[<h5>For the genoise sponge:</h5>, <p>25g unsalted butter </p>, <p>4 eggs </p>, <p>1 tbsp yuzu juice </p>, <p>125g caster sugar </p>, <p>125g plain flour </p>, <p>good pinch of salt </p>, <p>25g good-quality white chocolate, grated or in curls, to decorate </p>, <p>large bowl of fruit salad or berries, to serve (optional)</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/171013_062_YuzuEntrement_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Kate-1135_l-100x100.jpg
Kate’s Rainbow Meringue Centrepiece,Kate,10-12,Easy,1 hr 30 mins,1 hr 30 mins,"[<h5>For the meringue:</h5>, <p>4 egg whites </p>, <p>½ tsp cream of tartar </p>, <p>large pinch of salt </p>, <p>250g golden caster sugar </p>, <p>¾ tsp vanilla extract </p>, <p>2 tsp cornflour</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/171013_064_RainbowMeringue_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Kate-1135_l-100x100.jpg
Sophie’s Hazelnut Dacquoise Centrepiece,Sophie,12–16,Challenging,2 hrs 30 mins,1 hr 30 mins,"[<h5>For the hazelnut meringue:</h5>, <p>150g blanched hazelnuts </p>, <p>1 tsp icing sugar </p>, <p>250g caster sugar </p>, <p>30g cornflour </p>, <p>6 egg whites </p>, <p>large pinch of salt </p>, <p>45g unsalted butter, melted and cooled</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/171013_061_HazelnutDacquoise_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Sophie-1162_l-100x100.jpg
Kate’s Pecan Savoy Cake,Kate,8,Needs skill,1 hr 15 mins,35 mins,"[<h5>To prepare the tin:</h5>, <p>20g unsalted butter, melted </p>, <p>1 tbsp golden icing sugar </p>, <p>1 tbsp potato flour </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/171013_051A_PecanSavoy_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Kate-1135_l-100x100.jpg
Sophie’s Citrus Savoy Cake with Apple Croquembouche,Sophie,12,Challenging,3 hrs,1 hr 10 mins,"[<h5>To prepare the tin:</h5>, <p>25g unsalted butter, melted </p>, <p>30g caster sugar</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/171013_053_CitrusSavoy_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Sophie-1162_l-100x100.jpg
Stacey’s Lemon Savoy Cake with Raspberry & St Clements Macaroons,Stacey,10,Needs skill,2 hrs,50 mins,"[<h5>To prepare the tin:</h5>, <p>25g unsalted butter, melted </p>, <p>2 tbsp caster sugar </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/171013_052_LemonSavoy_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Stacey-1201_l-100x100.jpg
Steven’s Chocolate & Ginger Sfogliatelle,Steven,24,Challenging,4 hrs 30 mins,20 mins,"[<h5>For the pastry:</h5>, <p>500g very strong white bread flour </p>, <p>1 tsp salt </p>, <p>about 125g lard, softened, for brushing </p>, <p>about 50g unsalted butter or vegetable fat, softened, for shaping </p>, <p>icing sugar, for dusting  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Sfogliatelle-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Steven-987_l-100x100.jpg
Liam’s Nan’s Sunday Dinner,Liam,12,Challenging,1 hr 45 mins,2 hrs,"[<h5>For the curry filling:</h5>, <p>1kg diced goat, mutton or lamb leg </p>, <p>1 lemon (optional) </p>, <p>2 garlic cloves, finely chopped </p>, <p>40g root ginger, peeled and finely chopped </p>, <p>1 large red onion, finely chopped </p>, <p>1 red pepper, deseeded and cut into 1cm chunks </p>, <p>1 yellow pepper, deseeded and cut into 1cm chunks </p>, <p>1 tbsp smoked sweet paprika </p>, <p>1 tbsp mild curry powder </p>, <p>1 large potato, peeled and chopped into 1cm chunks </p>, <p>2 tbsp rapeseed or sunflower oil </p>, <p>1 ½ large plantains, peeled and chopped into 0.5cm chunks </p>, <p>salt and ground black pepper </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/170920_038_NansSundayPie_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Liam-959_l-100x100.jpg
Yan’s Pwielight Saga Hand-raised Pie,Yan,8,Challenging,"2 hrs 15 mins, plus chilling ",2 hrs ,"[<h5>For the hot-water crust:</h5>, <p>450g plain flour </p>, <p>150g lard, diced </p>, <p>1 tsp salt </p>, <p>1 egg, beaten, to glaze</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/01/Pwielight_Saga_Pie_1024-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Yan-928_l-100x100.jpg
Steven’s Christmas Pie,Steven,8,Challenging,3 hrs,2 hrs,"[<h5>For the hot-water crust:</h5>, <p>400g plain flour </p>, <p>150g strong white bread flour </p>, <p>½ tsp salt </p>, <p>75g unsalted butter, chilled and diced </p>, <p>90g lard, diced </p>, <p>10g goose fat </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Christmas-Pie-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Steven-987_l-100x100.jpg
Kate’s Bombay Potato Curry Pie,Kate,8,Challenging,2 hrs,1 hr,"[<h5>For the potato curry filling:</h5>, <p>700g waxy potatoes, peeled, and cut into 1.5–2cm dice </p>, <p>2 tbsp rapeseed or sunflower oil </p>, <p>2 medium–large onions, finely chopped </p>, <p>2 tsp brown mustard seeds </p>, <p>1 tsp cumin seeds </p>, <p>1 tsp black onion seeds </p>, <p>3 large garlic cloves, finely chopped </p>, <p>4cm piece of root ginger, peeled and finely grated (to give about 15g) </p>, <p>1 tsp ground cumin </p>, <p>1 tbsp curry powder, or to taste </p>, <p>1 tbsp garam masala, or to taste </p>, <p>½ tsp chilli powder, or to taste </p>, <p>½ tsp ground coriander </p>, <p>1 tsp ground turmeric </p>, <p>¼ tsp salt, or to taste </p>, <p>ground black pepper </p>, <p>3 medium–large tomatoes </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/170920_040_BombayPie_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Kate-1135_l-100x100.jpg
"Sophie’s Raspberry, Yuzu & White Chocolate Trifle Terrine",Sophie,10,Needs skill,2 hrs 30 mins,15 mins,"[<h5>For the sponge:</h5>, <p>2 eggs, separated </p>, <p>good pinch of salt </p>, <p>65g caster sugar </p>, <p>½ tsp vanilla bean paste </p>, <p>55g plain flour </p>, <p>2 tbsp yuzu liqueur (optional) </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/12/Raspberry_Yuzu_Terrine_V2_1024-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Sophie-1162_l-100x100.jpg
Kate’s Raspberry Trifle Terrine,Kate,10,Needs skill,2 hrs 30 mins,1 hr,"[<h5>For the sponge:</h5>, <p>4 eggs </p>, <p>115g caster sugar </p>, <p>¼ tsp almond extract </p>, <p>75g self-raising flour </p>, <p>5g freeze-dried raspberry pieces, ground to a fine powder </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/12/Raspberry_Trifle_Terrine_V2_1024-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Kate-1135_l-100x100.jpg
Kate’s Sticky Toffee Apple Caramel Cake,Kate,16,Needs skill,2 hrs 30 mins,20 mins,"[<h5>For the sponge layers:</h5>, <p>125g medjool dates, stoned and finely chopped </p>, <p>5 tbsp cloudy apple juice </p>, <p>325g unsalted butter, softened </p>, <p>250g light muscovado sugar </p>, <p>5 eggs, beaten  </p>, <p>300g self-raising flour </p>, <p>¼ tsp baking powder </p>, <p>2 tsp ground cinnamon </p>, <p>2 tsp ground mixed spice </p>, <p>60g dried apple rings or slices, finely chopped</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Sticky_Toffee_Apple_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Kate-1135_l-100x100.jpg
Yan’s Animals of the Rainforest Cake,Yan,16,Challenging,3 hrs,25 mins,"[<h5>For the orange sponge:</h5>, <p>100g unsalted butter, softened </p>, <p>225g light muscovado sugar </p>, <p>3 eggs, beaten  </p>, <p>finely grated zest of 2 unwaxed oranges </p>, <p>100ml orange juice </p>, <p>175g self-raising flour </p>, <p>½ tsp baking powder </p>, <p>orange food-colouring gel  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Rainforest_Cake_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Yan-928_l-100x100.jpg
Julia’s Caramel Shard Poppy Seed Cake,Julia,16,Needs skill,2 hrs,30 mins,"[<h5>For the sponges: </h5>, <p>5 eggs, separated </p>, <p>200g caster sugar </p>, <p>1½ tsp vanilla extract </p>, <p>10g poppy seeds </p>, <p>200g self-raising flour, sifted </p>, <p>200g unsalted butter, melted, then cooled </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Shard_Cake_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Julia-860_l-100x100.jpg
