title,judge,makes,difficulty,hands_on_time,baking_time,ingredients,recipe_image,judge_image
"Phil’s Pancetta, Gruyère & Padano Focaccia",Phil,20,Needs skill,"45 mins, plus rising and proving",1 hr,"[<p>2 large garlic cloves, peeled </p>, <p>500g strong white bread flour</p>, <p>10g salt</p>, <p>10g fast-action dried yeast</p>, <p>10g chives, finely chopped</p>, <p>10g parsley, finely chopped </p>, <p>10g rosemary needles, plus extra sprigs to garnish</p>, <p>40ml olive oil, plus extra for frying and drizzling </p>, <p>150g diced smoked pancetta</p>, <p>150g Gruyère cheese, cut into 1cm dice </p>, <p>100g Grana Padano cheese, cut into thin slices</p>, <p>rock salt, for sprinkling</p>, <p>2–3 tbsp lemon-infused olive oil, to serve </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Panchetta-Gruyere-Focaccia-1024x450-4.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Phil-1080-100x100.jpg
Priya’s Smoky Jalapeño Bread,Priya,8,Challenging,"1 hr, plus rising and proving",20 mins,"[<h5>For the smoky seasoning:</h5>, <p>1 tbsp smoked paprika</p>, <p>1 tbsp + 1 tsp tomato powder</p>, <p>1 tsp onion granules</p>, <p>1 tsp garlic granules </p>, <p>¼ tsp dried oregano</p>, <p>1 tsp dried chives</p>, <p>¼ tsp cayenne pepper</p>, <p>¼ tsp caster sugar </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Smokey-Jalapeno-Bread-1024x450-3.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Priya-1080-100x100.jpg
Helena’s Wicked Witch Fingers,Helena,48,Needs skill,45 mins,15 mins,"[<h5>For the biscuits:</h5>, <p>170g salted butter, softened</p>, <p>100g icing sugar, sifted</p>, <p>2 egg yolks</p>, <p>240g plain flour, sifted</p>, <p>2½ tbsp matcha powder</p>, <p>48 whole, shelled almonds (not blanched)</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Witches-Fingers-1024x450-2.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Helena-1080-100x100.jpg
Rosie’s Virgin Mojito Biscuit Bars,Rosie,12,Challenging,2 hrs 30 mins,12 mins,"[<h5>For the shortbread:</h5>, <p>200g unsalted butter</p>, <p>100g caster sugar</p>, <p>300g plain flour, sifted</p>, <p>pinch of fine sea salt</p>, <p>finely grated zest of 4 unwaxed limes</p>, <p>2–3 tbsp lime juice</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Mojito-Biscuit-Bars-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Rosie-1080-100x100.jpg
Michael’s Lemon & Rosemary Biscuit Bars,Michael,12,Challenging,2 hrs,15 mins,"[<h5>For the shortbread:</h5>, <p>2 tsp chopped rosemary needles</p>, <p>60g caster sugar</p>, <p>finely grated zest of 1 unwaxed lemon</p>, <p>60g plain flour</p>, <p>60g self-raising flour</p>, <p>115g unsalted butter</p>, <p>50g cornflour</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Lemon-Rosemary-Biscuits-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Michael-1080-100x100.jpg
"Henry’s Coffee, Cardamom & Hazelnut Bars",Henry,12,Challenging,2 hrs 30 mins,15 mins,"[<h5>For the shells:</h5>, <p>450g 70% dark chocolate, broken into pieces</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Coffee-Cardamon-Bars-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10_Henry-1080-100x100.jpg
Michelle’s Bakewell Bars,Michelle,12,Challenging,2 hrs 30 mins,12 mins,"[<h5>For the shells:</h5>, <p>450g white chocolate, broken into pieces</p>, <p>pink food-colouring gel</p>, <p>35g flaked almonds</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Bakewell-Bars-1024x450-2.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Michelle-1080-100x100.jpg
Phil’s Spiced Fruit Cake with Rum Glaze,Phil,16,Easy,1 hr,1 hr 10 mins,"[<h5>For the marzipan:</h5>, <p>75g golden caster sugar</p>, <p>2 tbsp honey</p>, <p>200g ground almonds</p>, <p>130g icing sugar, sifted</p>, <p>1 tsp almond extract</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/Spice-Fruit-Cake-Rum-Glaze-1024x450-3-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Phil-1080-100x100.jpg
Amelia’s Naked Christmas Cake,Amelia,16,Easy,50 mins,1 hr 15 mins,"[<h5>For the sponge:</h5>, <p>540g dried mixed fruit</p>, <p>85g dried apricots, diced</p>, <p>130g glacé cherries</p>, <p>90ml orange brandy or liqueur, plus an extra 3 tbsp for pouring</p>, <p>215g unsalted butter</p>, <p>110g icing sugar, sifted</p>, <p>110g light muscovado sugar</p>, <p>5 eggs, beaten</p>, <p>215g plain flour, sifted</p>, <p>110g ground almonds</p>, <p>finely grated zest of 1 unwaxed orange</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/Naked-Xmas-Cake-1024x450-2-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Amelia-1080-100x100.jpg
Jamie’s Easter Simnel Cake,Jamie,11,Easy,1 hr 30 minutes,1 hr,"[<h5>For the marzipan:</h5>, <p>1 egg</p>, <p>250g icing sugar</p>, <p>½ tsp almond extract</p>, <p>yellow food-colouring paste</p>, <p>125g ground almonds</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/Easter-Simnel-Cake-1024x450-2-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Jamie-1080-100x100.jpg
Candice’s Two-tier Stollen Wreath,Candice,12–16,Needs skill,"90 mins, plus proving",45 mins,"[<h5>For the dough:</h5>, <p>100g soft dried dates</p>, <p>75g dried apple slices</p>, <p>500g strong white bread flour, plus extra for dusting</p>, <p>1 tsp salt</p>, <p>10g fast-action dried yeast</p>, <p>2 tsp golden caster sugar</p>, <p>1 tsp ground cinnamon</p>, <p>1 tsp ground ginger</p>, <p>3cm piece of ginger root, peeled and grated</p>, <p>275ml whole milk</p>, <p>100g unsalted butter</p>, <p>1 large egg, beaten</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/Candice_Stollen_1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/candace-100x100.jpg
Tamal’s Iced Stollen Wreath,Tamal,16,Needs skill,"2 hrs, plus proving",50 mins,"[<h5>For the dough:</h5>, <p>65g dried cherries</p>, <p>65g dried cranberries</p>, <p>65g raisins</p>, <p>60g candied orange peel</p>, <p>finely grated zest and juice of 2 unwaxed clementines</p>, <p>2 tbsp dark rum</p>, <p>600g strong white bread flour</p>, <p>15g fast-action dried yeast</p>, <p>1 tsp salt</p>, <p>1 tbsp ground cinnamon</p>, <p>½ tsp ground cloves</p>, <p>100g caster sugar</p>, <p>125g whole milk</p>, <p>150g unsalted butter, melted, plus extra for glazing</p>, <p>2 large eggs</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/Tamal_Stollen_1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_3_450-100x100.jpg
Jane’s 12 Days of Decorating Biscuits,Jane,about 24,Needs skill,2 hrs,45 mins,"[<h5>For the biscuits:</h5>, <p>350g plain flour</p>, <p>1 tsp bicarbonate of soda</p>, <p>2 tsp ground cinnamon</p>, <p>1 tsp ground mixed spice</p>, <p>½ tsp ground cloves</p>, <p>120g salted butter</p>, <p>175g light muscovado sugar</p>, <p>1 large egg, beaten</p>, <p>2 tbsp golden syrup</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/Xmas_12_Days_Biscuits_1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/jane-100x100.jpg
Flo’s Spiced Treacle & Ginger Biscuits,Flo,about 24 biscuits,Easy,"30 mins, plus decorating",10–12 mins,"[<h5>For the biscuits:</h5>, <p>100g salted butter, softened</p>, <p>100g caster sugar</p>, <p>125g treacle</p>, <p>1 egg yolk</p>, <p>250g plain flour</p>, <p>½ tsp salt</p>, <p>½ tsp bicarbonate of soda</p>, <p>½ tsp ground cinnamon</p>, <p>½ tsp ground cloves</p>, <p>½ tsp ground nutmeg</p>, <p>1 tsp ground ginger</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/Xmas_Treacle_Biscuits_1024x450_3-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Flo-1074_l-100x100.jpg
Rahul’s Mango Crème-filled Doughnuts,Rahul,12,Needs skill,"1 hr, plus rising  ",about 18 mins ,"[<h5>For the dough: </h5>, <p>550g strong white bread flour  </p>, <p>70g caster sugar  </p>, <p>50g unsalted butter  </p>, <p>2 eggs  </p>, <p>14g fast-action dried yeast </p>, <p>10g salt  </p>, <p>130ml hand-hot whole milk </p>, <p>100ml hand-hot water  </p>, <p>1 litre sunflower oil, for frying </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/GBBO_Mango_Doughnuts_1024x450_2-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-100x100.jpg
Rahul’s Chocolate-dipped Orange Madeleines  ,Rahul,12,Easy,40 mins,10 mins ,"[<h5>For the sponges: </h5>, <p>2 large eggs </p>, <p>100g caster sugar </p>, <p>100g plain flour </p>, <p>½ tsp baking powder </p>, <p>100g unsalted butter, melted and cooled  </p>, <p>zest of 2 unwaxed oranges </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/05/Choc_Orange_Madalienes_1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-100x100.jpg
Briony’s Espresso Martini Madeleines,Briony,12,Easy,40 mins,8 mins,"[<h5>For the sponges: </h5>, <p>95g unsalted butter  </p>, <p>2 large eggs </p>, <p>1 tbsp coffee liqueur, such as Tia Maria </p>, <p>90g golden caster sugar </p>, <p>90g self-raising flour, plus extra for dusting  </p>, <p>½ tsp baking powder </p>, <p>pinch of salt </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Mocha_Madelienes_1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-5-100x100.jpg
"Ruby’s Smørrebrød with Fennel, Flax, Poppy & Chilli",Ruby,1 loaf (16 slices),Needs skill,"1 hr, plus rising",35 mins,"[<h5>For the bread:</h5>, <p>200g wholemeal rye flour, plus extra for dusting  </p>, <p>200g strong white bread flour  </p>, <p>1½ tsp fast-action dried yeast </p>, <p>2 tsp salt  </p>, <p>25g sunflower seeds  </p>, <p>15g flax seeds (linseeds) </p>, <p>15g poppy seeds </p>, <p>1 tsp fennel seeds </p>, <p>½ tsp chilli powder </p>, <p>1 tbsp black treacle </p>, <p>250ml lukewarm water  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Smorrebrod_1024x450_1.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-100x100.jpg
Manon’s Chestnut & Mushroom Tartlet,Manon,4,Needs skill,40 mins,18 mins,"[<h5>For the wholemeal shortcrust:</h5>, <p>75g wholemeal flour </p>, <p>150g plain flour </p>, <p>½ tsp salt  </p>, <p>½ tsp caster sugar  </p>, <p>75g coconut oil, at room temperature </p>, <p>2–3 tbsp cold water  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Chestnut_Mushroom_Tartlets_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-3-100x100.jpg
Rahul’s Ghugni Chaat Tartlet,Rahul,4,Needs skill,1 hr 30 mins,20 mins,"[<h5>For the pastry: </h5>, <p>185g plain flour </p>, <p>40g gram flour </p>, <p>½ tsp salt </p>, <p>¼ tsp ground turmeric </p>, <p>¼ tsp carom seeds </p>, <p>¼ tsp chilli powder </p>, <p>100g vegetable shortening  </p>, <p>1–2 tbsp cold water </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Ghungni_Chat_Tartlet_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-100x100.jpg
Rahul’s Coriander Posto & Roasted Vegetables Rose Tartlet,Rahul,4,Needs skill,1 hr 30 mins,35 mins,"[<h5>For the pastry:</h5>, <p>225g plain flour </p>, <p>½ tsp salt </p>, <p>100g vegetable shortening  </p>, <p>2 tbsp cold water  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Pesto_Veg_Tartlets_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-100x100.jpg
Rahul’s Paneer Singara,Rahul,12,Needs skill,2 hrs,30 mins ,"[<h5>For the dough:</h5>, <p>225g plain flour  </p>, <p>pinch of salt </p>, <p>50g cold salted butter, diced </p>, <p>1 tsp nigella seeds </p>, <p>75ml lukewarm water </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Paneer_Samosa_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-100x100.jpg
Rahul’s Misti Singara Samosas,Rahul,12 samosas,Needs skill,"1 hr, plus chilling",30 mins,"[<h5>For the dough: </h5>, <p>225g plain flour </p>, <p>pinch of salt </p>, <p>1 tbsp caster sugar  </p>, <p>50g unsalted butter, diced </p>, <p>75ml lukewarm water </p>, <p>sunflower oil, for deep frying </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Misti_Singara_Samosas_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-100x100.jpg
Briony’s Beetroot Samosas & Peanut Butter Cheesecake Samosas,Briony,12 savoury and 12 sweet,Needs skill,1 hr 45 mins,30 mins,"[<h5>For the beetroot filling:</h5>, <p>1 tbsp olive oil  </p>, <p>3 small raw beetroots, peeled and chopped into 5mm chunks </p>, <p>1 red onion, peeled and chopped into 5mm chunks </p>, <p>½ tsp salt </p>, <p>½ tsp ground black pepper </p>, <p>1 tsp finely chopped rosemary leaves </p>, <p>2 tbsp balsamic vinegar </p>, <p>1 tbsp balsamic glaze </p>, <p>100g dried cranberries soaked in 2 tbsp port </p>, <p>100g walnuts, roughly chopped </p>, <p>18 small spinach leaves </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Beetroot_Peanut_Samosas_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-5-100x100.jpg
Jon’s ‘Dinner for Two’ Samosas,Jon,6 savoury and 6 sweet,Challenging,2 hrs,30 mins ,"[<h5>For the savoury filling:</h5>, <p>1 large skinless chicken breast (about 120g)  </p>, <p>2 tbsp pesto (see below) </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Romantic_Samosas_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-8-100x100.jpg
Ruby’s ‘Jamaican Me Crazy’ Ginger Cake,Ruby,24,Needs skill,1 hr 30 mins,55 mins,"[<h5>For the sponges:</h5>, <p>375g unsalted butter, softened   </p>, <p>330g dark brown soft sugar  </p>, <p>125g black treacle  </p>, <p>175g golden syrup  </p>, <p>1 tsp vanilla bean paste  </p>, <p>6 large free-range eggs  </p>, <p>4 tbsp spiced rum  </p>, <p>4 tbsp ground ginger  </p>, <p>3 tbsp ground cinnamon  </p>, <p>375g self-raising flour  </p>, <p>4 ½ tbsp soured cream  </p>, <p>6 pieces of stem ginger, drained and finely chopped, syrup reserved</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Jamaican_Me_Crazy_1024x450_2.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-100x100.jpg
Kim-Joy’s Stem Ginger Cake with Cream-cheese Frosting & Salted Caramel,Kim-Joy,12,Needs skill,"2 hrs, plus chilling",45 mins,"[<h5>For the poached pears:</h5>, <p>3 conference pears, peeled, stem intact</p>, <p>40g dark muscovado sugar</p>, <p>1 star anise</p>, <p>2 pieces cinnamon bark</p>, <p>1 tbsp vanilla paste</p>, <p>3 green cardamom pods </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Stem_Ginger_Cake_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-6-100x100.jpg
Manon’s Italian Meringue & Lemon Ginger Cake,Manon,16,Needs skill,1 hr 15 mins,25 mins,"[<h5>For the sponges:</h5>, <p>200g salted butter, at room temperature  </p>, <p>250g dark muscovado sugar </p>, <p>100g treacle </p>, <p>100g golden syrup </p>, <p>100g root ginger, finely grated </p>, <p>2 eggs  </p>, <p>1 tsp ground cinnamon </p>, <p>1 tsp ground ginger </p>, <p>250g plain flour </p>, <p>1 tsp bicarbonate of soda </p>, <p>2 tsp baking powder </p>, <p>150ml whole milk </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Lemon_Ginger_Cake_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-3-100x100.jpg
Jon’s Family Ginger Cake,Jon,8,Challenging,2 hrs,30 mins ,"[<h5>For the sponges:</h5>, <p>230ml whole milk </p>, <p>120g golden syrup </p>, <p>120g black treacle </p>, <p>120g dark muscovado sugar </p>, <p>1 tbsp ground ginger </p>, <p>1 tsp ground cinnamon </p>, <p>1 ½ tsp mixed spice </p>, <p>1 tsp bicarbonate of soda </p>, <p>230g self-raising flour </p>, <p>120g unsalted butter, softened  </p>, <p>100g stem ginger, finely chopped  </p>, <p>1 egg  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Ginger_Family_Cake_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-8-100x100.jpg
Dan’s Florida Fruit Roll,Dan,8–10,Needs skill,50 mins,25 mins,"[<h5>For the meringue:</h5>, <p>4 large egg whites  </p>, <p>250g caster sugar  </p>, <p>1 tsp cornflour  </p>, <p>1 tsp white wine vinegar  </p>, <p>1 tsp vanilla extract </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Florida_Fruit_Roll_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-7-100x100.jpg
Ruby’s Piña Colada Roulade,Ruby,10,Needs skill,30 mins,50 mins ,"[<h5>For the meringue:</h5>, <p>4 large egg whites   </p>, <p>225g caster sugar </p>, <p>1 tsp white wine vinegar  </p>, <p>50g sweetened desiccated coconut </p>, <p>gold shimmer spray, to decorate  </p>, <p>icing sugar, for dusting  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Pina_Colada_Roulade_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-100x100.jpg
Briony’s Treacle Tart Roulade,Briony,8-10,Needs skill,40 mins,20 mins,"[<h5>For the meringue: </h5>, <p>4 large egg whites </p>, <p>250g caster sugar </p>, <p>finely grated zest of ½ unwaxed lemon </p>, <p>50g pecans, bashed into small pieces, plus 6 whole pecans to decorate </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Treacle_Roulade_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-5-100x100.jpg
Manon’s Pistachio Meringue,Manon,8,Needs skill,40 mins,25 mins,"[<h5>For the meringue:</h5>, <p>70g pistachios  </p>, <p>300g caster sugar </p>, <p>4 egg whites (about 160g) </p>, <p>pinch of salt  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/06/Pistachio_Meringue_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-3-100x100.jpg
Dan’s Sticky Spiced Orange Chelsea Buns,Dan,12 portions,Needs skill,"45 mins, plus rising",20 mins,"[<h5>For the dough:</h5>, <p>200ml whole milk  </p>, <p>50g unsalted butter  </p>, <p>75g caster sugar  </p>, <p>1 tsp salt  </p>, <p>1 tsp ground cinnamon  </p>, <p>½ tsp ground nutmeg  </p>, <p>finely grated zest of 1 large unwaxed orange  </p>, <p>500g strong white bread flour  </p>, <p>10g fast-action dried yeast  </p>, <p>2 large eggs  </p>, <p>1 tsp orange extract </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Orange_Chelsea_Buns_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-7-100x100.jpg
Manon’s Apricot & Cranberry Chai Chelsea Buns,Manon,12 portions,Needs skill,"45 mins, plus rising",20 mins,"[<h5>For the chai mix:</h5>, <p>½ tsp ground cardamom  </p>, <p>½ tsp ground allspice </p>, <p>1 tsp cinnamon </p>, <p>½ tsp ground cloves </p>, <p>1½ tsp ground ginger </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Apricot_Chelsea_Buns_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-3-100x100.jpg
Dan’s Black Forest Slice,Dan,16 portions,Easy,45 mins,20 mins,"[<h5>For the sponge:</h5>, <p>175g plain flour </p>, <p>25g cocoa powder </p>, <p>1 tsp espresso powder </p>, <p>1 tsp baking powder </p>, <p>175g unsalted butter </p>, <p>200g light brown soft sugar </p>, <p>1 tsp vanilla extract </p>, <p>3 large eggs </p>, <p>200g cherries, pitted and quartered </p>, <p>25g 70% dark chocolate </p>, <p>16 cherries in kirsch, drained  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Forest_Traybake_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-7-100x100.jpg
Terry’s All At Sea Rum & Raisin Traybake,Terry,16 slices,Easy,1 hr,25 mins,"[<h5>For the apple sauce:</h5>, <p>2 Bramley apples, peeled, cored and chopped</p>, <p>250ml cloudy apple juice</p>, <p>150g light muscovado sugar</p>, <p>1 tbsp cornflour</p>, <p>10g unsalted butter</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Rum_Raisin_Bake_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-11-100x100.jpg
Rahul’s Lemon Traybake with Lemon & Cardamom Drizzle,Rahul,16,Needs skill,2 hrs,11 mins,"[<h5>For the joconde sponge:  </h5>, <p>6 large egg whites  </p>, <p>270g caster sugar  </p>, <p>270g ground almonds  </p>, <p>6 large eggs  </p>, <p>60g plain flour  </p>, <p>finely grated zest of 4 unwaxed lemons </p>, <p>2 tsp ground cardamom or ½ tsp cardamom extract </p>, <p>45g unsalted butter, melted, then cooled  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Lemon_Tray_Bake_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-100x100.jpg
Terry’s Chocolate-dipped Chia Brandy Snaps,Terry,24,Needs skill,2 hrs,1 hr 30 mins  ,"[<p>75ml cloudy apple juice  </p>, <p>200g caster sugar  </p>, <p>75g plain flour </p>, <p>75g unsalted butter </p>, <p>10g ground almonds  </p>, <p>25g chia seeds </p>, <p>100g 60% dark chocolate, to decorate  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Brandy_Snaps_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-11-100x100.jpg
Antony’s Turmeric & Caraway Goosnargh Biscuits with Mango Chilli Jam,Antony,24,Needs skill,1 hr,34 mins,"[<h5>For the mango chilli jam:</h5>, <p>400g tin of mango slices, drained </p>, <p>400g granulated sugar   </p>, <p>zest and juice of 2 unwaxed lemons  </p>, <p>½ tsp chilli flakes </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Turmeric_Biscuits_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-4-100x100.jpg
Kim-Joy’s Orange Blossom York Biscuits,Kim-Joy,24,Needs skill,2 hrs,30 mins,"[<h5>For the biscuits: </h5>, <p>200g salted butter  </p>, <p>85g caster sugar </p>, <p>finely grated zest of 1 unwaxed orange  </p>, <p>1½ tsp orange blossom water, or to taste  </p>, <p>200g plain flour, plus extra for dusting </p>, <p>70g semolina </p>, <p>edible white primroses, stems snipped, to decorate </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/York_Biscuits_1024x450_4.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-6-100x100.jpg
Briony’s Apple Cider Empire Biscuits,Briony,24,Needs skill,1 hr,20 mins,"[<h5>For the biscuits:</h5>, <p>2 large eggs and 2 large egg yolks </p>, <p>280g unsalted butter, softened  </p>, <p>150g caster sugar </p>, <p>1 tsp Madagascan vanilla extract  </p>, <p>370g plain flour  </p>, <p>½ tsp salt </p>, <p>1 tsp ground cinnamon </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Apple_Empire_Biscuits_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-5-100x100.jpg
Luke’s Yorkshire Gingernuts with Lime,Luke,24,Easy,45 mins,30 mins,"[<p>100g unsalted butter</p>, <p>25g golden syrup</p>, <p>1 egg</p>, <p>350g self-raising flour</p>, <p>100g soft light brown sugar</p>, <p>100g light muscovado sugar</p>, <p>1 tsp bicarbonate of soda</p>, <p>12g ground ginger</p>, <p>10g mixed spice</p>, <p>finely grated zest of 3 unwaxed limes</p>, <p>juice of 1 lime</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/07/Gingernuts_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-1-100x100.jpg
Rob’s Apple & Cinnamon Baked Alaska Tarts,Robert,6 individual tartlets,Needs skill,1 hr 45 mins,17 mins,"[<h5>For the vanilla ice cream:</h5>, <p>200ml full-fat milk</p>, <p>1 vanilla pod, split lengthways</p>, <p>3 medium egg yolks, at room temperature</p>, <p>75g caster sugar</p>, <p>200ml whipping cream, well chilled</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/Apple-Alaska-Tart-1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/robert-detail-100x100.jpg
Selasi’s Bûche de Noël,Robert,12,Needs skill,2 hrs 15 mins,1 hr 10 mins,"[<h5>For the rum sauce:</h5>, <p>35g raisins</p>, <p>3 tbsp dark rum</p>, <p>3 tbsp very hot water</p>, <p>55g caster sugar</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/buche-de-noel-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/robert-detail-100x100.jpg
